semester,LVA_name_brief,LVA_name_full
WS_2018-19,Ana1,Analysis 1
WS_2018-19,EiMa,Einführung in das mathematische Arbeiten
WS_2018-19,EProg,Einführung ins Programmieren
WS_2018-19,LinAG1,Lineare Algebra und Geometrie 1
SS_2019,AM,Anwendungsgebiete der Mathematik
SS_2019,Ana2,Analysis 2
SS_2019,CompMath,Computermathematik
SS_2019,LinAG2,Lineare Algebra und Geometrie 2
SS_2019,MassWHT1,Maß- und Wahrscheinlichkeitstheorie 1
WS_2019-20,Ana3,Analysis 3
WS_2019-20,EOpt,Einführung ins Optimieren
WS_2019-20,MassWHT2,Maß- und Wahrscheinlichkeitstheorie 2
WS_2019-20,NumA,Numerik A
SS_2020,Alg1,Algebra 1
SS_2020,FAna1,Funktionalanalysis 1
SS_2020,KAna,Komplexe Analysis
SS_2020,NumODEs,Numerik von Gewöhnlichen Differentialgleichungen
SS_2020,ODEs,Gewöhnliche Differentialgleichungen
WS_2020-21,DGA,Diskrete und Geometrische Algorithmen
WS_2020-21,LGM,Logik und Grundlagen der Mathematik
WS_2020-21,NumPDEs,Numerik von Partiellen Differentialgleichungen: stationäre Probleme
WS_2020-21,PDEs,Partielle Differentialgleichungen
WS_2020-21,SemNumLinAG,Seminar mit Seminararbeit zur numerischen linearen Algebra
SS_2021,BA,Bachelorarbeit
SS_2021,EStat,Einführung in die Statistik
SS_2021,RL,Reinforcement Learning
SS_2021,TfMfTM,Technik für Menschen für Technische Mathematiker
SS_2021,ThI,Theoretische Informatik
SS_2021,ZTheo,Zahlentheorie
