0.01,"[25. 19. 29. 39. 11. 10. 18. 11. 12. 17. 11. 14. 16. 11. 11. 10. 14.  9.
 14. 16.  9. 11. 13. 10. 10. 11. 16. 12. 16. 15. 12. 10. 14. 11. 11.  8.
 15. 11. 10. 11. 14. 13. 12. 14. 13. 15.  8. 10. 13.  9. 11. 17.  9. 11.
 10. 12.  9. 11. 10. 10. 10. 16. 11. 14. 10. 15. 10. 12. 20. 12.  8. 11.
  8. 11.  8. 11. 17. 16.  9. 12. 16. 14. 19. 15. 10. 11. 10. 11. 10. 10.
 15. 10. 18. 17. 14. 27. 13. 18. 20. 23. 21. 26. 13. 20.  9. 16. 10. 13.
 11. 13. 26. 15. 15. 12. 18. 16. 16. 11. 13. 16. 12. 12. 13. 12. 19. 10.
 11. 13. 10. 11. 10. 12. 11. 13.  8.  9. 18. 16.  8. 10.  9. 11. 17. 24.
 29. 10. 13. 28. 54. 10. 11. 12. 14. 11. 13. 11. 10. 13. 13. 11. 12. 14.
  8. 10. 16. 12. 14. 13. 10. 20.  9. 10.  9. 11. 13. 12. 10. 16. 10.  9.
 10. 10. 12. 12. 16. 12. 10. 10. 10. 10. 11.  9. 15. 11. 10. 12. 11.  9.
  9. 12.]"
0.05,"[29. 11. 10. 11. 11.  9.  8. 10. 10.  8. 10. 10.  9. 11. 12.  8. 11.  9.
 11.  8.  9.  9. 10.  9. 10.  9. 10. 10. 10. 10. 10. 10.  9. 10.  9.  9.
  9.  9.  8. 10.  9. 10. 10. 11.  9.  9. 10. 10. 10. 10.  9. 11.  9. 10.
  8. 11. 10. 11.  9.  9. 11. 10. 10.  9.  9. 10. 12. 11.  9.  9.  9. 10.
 10.  9.  9. 10.  8. 10.  8.  9. 10. 10.  8. 10. 10. 10. 10. 10.  9. 11.
 10. 10.  8. 11. 11.  8. 10.  8. 11. 14.  9. 10. 10. 10. 10.  9.  8. 10.
 11.  9.  9. 10. 10. 10. 10.  9. 13. 11. 10. 10. 16. 10. 10. 13. 11. 14.
  9. 11. 11. 13. 15.  8. 11. 11. 10. 13.  8. 13. 11. 10. 12. 10. 10. 11.
  9. 12. 11. 12. 11.  9. 11. 10. 15. 10. 12. 12. 18. 38. 10.  9.  9.  8.
 10. 10.  9. 10.  9.  9.  8.  8. 10. 10.  9.  9.  9. 10.  8. 10.  8.  8.
  9.  8.  9.  9. 10. 10. 10.  9. 11.  9. 10.  9. 10.  9. 10.  8. 10. 10.
  8.  9.]"
0.1,"[17. 42. 10. 10. 10. 10. 10. 10. 11. 10.  9.  9.  8.  8.  9. 10. 10. 10.
 10.  9. 10. 10. 10.  9.  9.  9.  9. 10.  8. 10. 10. 10.  9. 10.  8. 10.
  9. 10.  8.  8. 10.  9.  8.  9.  8.  8. 10. 10. 10.  9.  9. 10. 10.  9.
 10. 10. 10. 10.  9. 10. 10.  8.  8.  9.  8. 11.  8. 10.  8.  9. 10.  9.
 10.  9.  9. 10.  9. 10.  9.  9.  9. 10.  8. 10. 10. 10. 10. 10. 10. 10.
  9.  9. 10.  9. 10.  9. 10.  9.  9.  9.  8. 10.  8. 10. 10. 10. 10.  8.
  8.  8.  8. 10. 10.  8.  9. 10. 10.  8.  9.  9. 10.  9. 10.  9. 10. 10.
 10. 10. 10. 10. 10. 10. 10. 11.  8.  9.  9.  9. 10. 10. 10. 10. 10. 10.
 10.  9.  9. 10. 10. 10. 10.  9. 10. 10.  9. 10. 10. 10. 10.  9. 10.  8.
  9. 10. 10.  9.  8. 10.  9.  9. 10. 10. 10. 10.  9. 10. 10. 10. 10.  9.
  8.  9.  9. 10.  9.  9. 10. 10.  8.  9.  8.  9.  9. 10.  9.  9.  8.  9.
 10. 10.]"
0.01,"[18. 13. 13. 14. 27. 22. 12. 12. 10. 22. 15. 11. 13. 15. 11. 10. 10. 23.
 12. 11. 19. 12. 13. 15. 22. 20. 43. 13. 21. 14. 12.  9. 20. 10. 14. 10.
  9. 12. 14. 19. 19. 17. 63. 17. 10. 12. 18. 12. 16. 10.  8. 13. 11. 13.
 23. 12. 23. 23. 19. 53. 18. 28. 74.  9. 10.  9. 11. 10. 10. 11. 16. 13.
 11.  8. 11.  9. 13. 21. 10.  8.  9. 10. 14. 12.  8. 10. 12. 11.  9. 11.
  9.  9. 11. 10. 12.  9. 13.  9. 12.  9. 11. 11.  9. 16. 11. 12.  9. 10.
 12. 13. 16. 10. 13. 12. 15. 17. 15. 11. 10. 11. 11.  9. 20.  8. 12. 10.
 10.  9. 11. 13. 12. 10.  9. 10. 11.  9. 14. 13. 11. 11. 10. 10. 10. 10.
 12. 16. 14. 11. 10. 10. 11. 12.  8. 15. 11. 11. 10. 11. 10.  8. 11. 10.
 10. 11. 15. 10. 12.  9.  9. 12. 10. 10.  8.  9. 10. 14. 12. 10. 10. 11.
 13. 10. 14. 10. 13. 15.  9. 17. 11. 12. 11. 11. 12. 10. 10. 10. 10.  9.
 10. 13.]"
0.01,"[20. 15. 17.  9. 15. 25. 12. 16. 16. 36. 12. 18.  9. 19. 13. 13.  9. 13.
 14. 19.  9. 23. 13. 10. 15. 11. 18. 10. 11. 11. 11. 16.  9. 15. 13. 11.
 13. 11.  8. 20. 11. 10. 10.  9.  8. 11.  8. 11.  8. 11. 10. 10. 13. 17.
 11.  9. 10.  9.  9. 14. 10. 15.  8.  9. 12. 11.  8. 10.  9.  9. 10.  9.
 13. 10.  8. 14.  9.  9. 10. 10. 10. 11. 10. 11.  8.  8.  9. 12.  9.  9.
 12. 15. 15.  9.  9. 18.  8. 10. 14. 10. 11. 11. 15.  9. 12. 12. 11. 12.
 12. 10. 12. 11. 21.  9.  8. 16. 10. 13. 13.  9. 12. 11. 15. 12. 12. 10.
 23. 10. 11. 12. 12. 34. 11. 10.  8. 14. 10. 12.  9. 12. 12. 10. 16.  9.
 12. 12. 12.  9. 11. 11. 18. 11. 11. 10. 24.  9. 21. 15.  9. 10. 11. 16.
 12. 11. 13. 11. 14.  9. 11. 10. 10. 16. 12. 12. 14.  9. 10. 19. 62. 10.
 17. 24. 22. 23. 52. 10. 44. 16. 13. 12. 20. 16. 11. 10. 17.  9.  9. 17.
 13. 10.]"
0.01,"[24. 11. 10. 10. 15. 15. 19. 23. 11. 16. 13. 10. 13. 13. 24. 12. 33. 18.
  9. 44. 17. 17. 15. 13. 13. 14. 36. 27. 50. 10. 14. 17. 26. 20. 11. 22.
 11.  9. 12. 12. 10. 18. 19. 27. 15. 11. 13. 11. 17. 26. 19.  9. 28. 13.
 13. 10. 10. 32. 10. 16. 11. 14. 28. 16. 14. 13. 14. 14. 14. 12. 12. 13.
 11. 10. 14. 11. 11. 19. 17. 12. 17. 11. 10. 13. 13.  9. 13. 11. 18. 21.
 17. 11. 10. 11. 14. 10. 18. 15. 11. 21. 15. 12. 10. 20. 18. 17. 16. 25.
 13. 23. 14. 19. 19. 10. 17. 12. 12. 26. 11. 14. 17. 16. 14. 11. 11. 13.
 11. 14. 22. 12. 13. 10. 10. 11. 10. 11. 12. 11. 15. 10. 11. 10. 11. 10.
 17. 10. 15. 12. 13. 12. 14. 13. 11.  9. 13. 13.  9. 12. 12. 14. 18. 14.
 13. 12. 10. 13. 13. 16. 13. 10. 15.  9. 13. 14. 14. 11. 15. 11. 11. 12.
  9. 16. 13. 19. 18. 15. 18. 21. 20. 15. 26. 20. 20. 71. 10. 11. 21. 10.
 18. 13.]"
0.01,"[28. 15. 19. 11.  9. 27. 12. 17. 24. 24. 15. 15. 25. 17. 18. 14. 20. 22.
 20. 12. 28. 12. 13. 19. 17. 14. 20.  9.  9. 12. 13. 17. 11. 10. 11. 10.
 14. 13. 10. 16. 20. 15. 18. 15. 96. 10. 10. 11. 10.  9. 11.  9.  9. 12.
 14. 11. 11.  9. 16. 10.  9. 11. 10. 11. 10.  8. 11. 12. 13. 12.  8. 10.
 12. 13. 11. 10. 11. 11. 13. 21. 12. 16. 16. 16. 20. 17. 27. 10. 12. 12.
 10. 40. 15. 16. 18. 17. 16. 23. 13. 22. 25. 20. 18. 30. 64. 10. 12. 15.
 11. 11. 41. 12. 11. 12. 13. 11.  9. 15. 13. 14. 14. 10. 17. 20. 25. 17.
 13. 13. 10. 16. 12. 14. 15. 15. 26. 11. 21. 11. 21. 21. 63.  9. 12. 10.
 12. 10.  9. 14. 13. 30. 10. 17. 13. 14. 11. 13. 14.  9. 15. 13. 16. 12.
 20. 30. 11. 15. 22. 20. 15. 13.  9. 20. 10. 15. 11. 15. 14. 13. 13.  9.
  9. 17. 11. 14. 10. 12.  9. 15. 10. 15.  9. 11.  9. 12. 12. 13. 15. 14.
 10. 10.]"
0.01,"[10. 21. 17. 15.  9. 24. 20. 47. 16. 39. 10. 11.  9. 12. 10.  9. 10. 14.
 10. 10.  9.  9. 10. 10. 10. 10. 10. 10. 11. 12. 13. 13. 13. 11. 11. 11.
 16.  9. 16. 13. 11. 13. 11.  9. 12. 11. 12. 10. 10. 10.  9. 11. 11. 23.
  8. 10. 12. 10. 12. 11.  8. 11.  9. 11.  9. 15.  9.  9. 15. 11. 10. 13.
 10. 15. 12. 11. 15. 14. 20. 19. 19. 35. 21. 13. 12. 10. 11.  9. 12. 15.
 10. 14.  9. 12. 13.  9. 13. 14.  9. 10. 12. 10. 14. 10. 11. 20. 11. 25.
  9. 14. 18.  9. 14. 10. 10. 11. 22. 14.  9.  9. 11. 11. 14. 10.  9. 12.
 19. 13. 11.  9. 10. 10. 14. 12. 16. 18. 15. 19. 11. 15. 13. 17. 10. 13.
 14. 15. 24. 24. 14. 19. 27. 59. 28. 10. 12. 11. 11. 13. 10. 13.  9. 17.
 19. 21. 34. 18.  9. 12. 15. 10. 10.  9. 12. 13. 10. 11.  9.  8. 13. 15.
 11. 10. 12. 18. 11. 11.  9.  8. 12.  9. 18. 10. 11. 15. 10. 11. 13. 13.
 11. 12.]"
0.01,"[17. 15. 22. 10. 13. 13. 15. 12. 17. 13. 10. 10. 13. 12. 11. 19. 24. 20.
 28. 11. 39. 22. 14. 12. 22. 19. 28. 18. 11. 17. 14. 14. 23. 10. 13. 12.
 10. 10.  9. 11.  9. 13.  8. 18. 12. 14. 10. 13. 13.  9. 17. 14. 14. 11.
 34. 22. 10. 12. 22. 14. 11. 22. 11. 13. 14. 25. 11. 15. 14. 12. 10. 10.
 11. 11. 11.  9.  9.  8. 10.  9. 11. 11. 11. 12. 10. 24. 11. 12.  8.  9.
 13. 10. 23. 14. 10.  8. 10. 11. 10.  8.  9. 11. 10.  9. 11.  8.  9. 11.
 11. 11.  9. 10. 10.  9. 10. 14. 11. 10.  9. 10. 10.  8.  9.  9. 10. 11.
  9. 11. 11. 11.  9. 13.  8. 10. 12. 10.  9. 10. 10. 10. 10.  9.  9. 10.
  8. 10. 11.  8.  9. 16.  9. 10. 10. 10.  9.  9. 11.  9.  8.  9.  9. 10.
 11. 10. 10. 12. 10. 11.  9. 10. 11. 10. 11. 10. 11.  9. 10. 12. 10.  9.
  9.  9. 11. 10. 10. 13.  9.  8. 12. 11.  9. 10. 24.  9. 12. 10. 12. 16.
 10. 12.]"
0.01,"[27. 13. 20. 20. 25. 15. 11. 12. 12.  9. 10.  9. 11. 12.  9. 15. 23. 11.
 12. 16.  9. 10. 14.  9. 12.  8. 11.  9. 11. 10. 11.  9. 16. 11. 26. 17.
 17. 11. 13. 13. 10. 23. 13. 11.  9. 21. 10. 13. 12. 16. 15. 12. 10. 14.
  9. 23. 59.  8. 10. 16.  9. 10. 10.  9. 12. 11.  8. 11. 11. 10. 10. 11.
  9. 10.  8.  9. 13.  9. 11. 11. 11. 11. 12. 12. 18. 10. 12. 14. 28. 14.
  9. 19. 18. 18. 28. 10. 10. 22. 22. 17. 36. 18. 10. 10. 16.  9. 13. 14.
 12.  9. 11. 10. 11.  8. 10.  9. 11. 11. 10.  8. 10. 11.  9. 11.  9. 13.
 11.  9. 10.  9. 10. 14. 11. 12. 14. 16. 11. 10. 10. 12. 14. 12. 13.  9.
 10. 10.  9.  8. 10. 14. 10. 13. 11. 10. 16. 10. 13. 11. 12. 10.  9. 12.
  9. 13. 15.  9. 10.  9. 11.  9. 12.  8.  8.  9. 11.  9. 14.  9. 12. 19.
  8. 13. 13. 10. 14.  9. 16. 11.  8. 14. 19. 19. 11. 17. 15. 14.  9. 12.
 18. 14.]"
