,0,1,2,3,4,5,6,7,8,9
0,12.0,12.0,13.0,34.0,23.0,15.0,15.0,27.0,15.0,28.0
1,18.0,14.0,25.0,13.0,10.0,9.0,41.0,18.0,24.0,13.0
2,18.0,17.0,15.0,19.0,20.0,57.0,15.0,11.0,32.0,10.0
3,19.0,9.0,18.0,19.0,17.0,33.0,11.0,17.0,35.0,17.0
4,16.0,16.0,13.0,17.0,12.0,12.0,16.0,34.0,21.0,31.0
5,23.0,29.0,35.0,25.0,13.0,26.0,24.0,28.0,18.0,53.0
6,22.0,14.0,30.0,19.0,13.0,27.0,37.0,31.0,18.0,34.0
7,10.0,34.0,16.0,24.0,12.0,39.0,28.0,9.0,39.0,22.0
8,32.0,14.0,13.0,34.0,15.0,19.0,15.0,32.0,43.0,11.0
9,22.0,19.0,13.0,11.0,21.0,15.0,22.0,10.0,12.0,10.0
10,35.0,23.0,24.0,21.0,14.0,14.0,12.0,23.0,31.0,13.0
11,48.0,12.0,18.0,16.0,36.0,38.0,33.0,17.0,30.0,45.0
12,21.0,26.0,10.0,15.0,13.0,11.0,12.0,11.0,26.0,9.0
13,24.0,17.0,27.0,29.0,26.0,28.0,18.0,12.0,13.0,10.0
14,20.0,35.0,17.0,9.0,13.0,23.0,32.0,30.0,18.0,24.0
15,19.0,17.0,18.0,33.0,15.0,42.0,20.0,19.0,11.0,42.0
16,16.0,16.0,12.0,16.0,18.0,26.0,12.0,18.0,12.0,21.0
17,33.0,20.0,85.0,30.0,18.0,17.0,14.0,16.0,13.0,16.0
18,29.0,24.0,22.0,27.0,15.0,14.0,18.0,27.0,48.0,15.0
19,28.0,15.0,28.0,14.0,23.0,20.0,18.0,12.0,14.0,24.0
20,20.0,27.0,28.0,24.0,45.0,13.0,17.0,24.0,26.0,57.0
21,26.0,16.0,21.0,12.0,12.0,18.0,10.0,45.0,32.0,15.0
22,21.0,24.0,17.0,23.0,23.0,16.0,50.0,17.0,28.0,20.0
23,31.0,30.0,12.0,11.0,19.0,16.0,24.0,16.0,21.0,17.0
24,19.0,14.0,27.0,25.0,30.0,14.0,17.0,22.0,54.0,9.0
25,23.0,14.0,21.0,12.0,12.0,16.0,16.0,15.0,25.0,13.0
26,27.0,12.0,24.0,43.0,13.0,12.0,16.0,30.0,24.0,55.0
27,16.0,12.0,16.0,38.0,14.0,41.0,19.0,13.0,31.0,19.0
28,21.0,14.0,17.0,11.0,11.0,13.0,29.0,17.0,28.0,20.0
29,11.0,25.0,27.0,20.0,10.0,22.0,16.0,18.0,66.0,41.0
30,13.0,21.0,13.0,20.0,24.0,14.0,12.0,13.0,25.0,16.0
31,81.0,17.0,11.0,25.0,10.0,28.0,39.0,27.0,14.0,18.0
32,26.0,26.0,10.0,15.0,12.0,34.0,10.0,13.0,15.0,23.0
33,11.0,10.0,13.0,13.0,20.0,22.0,16.0,29.0,24.0,14.0
34,32.0,27.0,18.0,24.0,15.0,25.0,15.0,16.0,36.0,19.0
35,16.0,28.0,16.0,16.0,19.0,25.0,19.0,12.0,15.0,47.0
36,18.0,19.0,36.0,22.0,21.0,16.0,16.0,14.0,20.0,11.0
37,17.0,47.0,15.0,10.0,11.0,26.0,41.0,13.0,21.0,17.0
38,59.0,18.0,13.0,11.0,25.0,37.0,28.0,18.0,18.0,39.0
39,10.0,24.0,17.0,15.0,23.0,17.0,47.0,14.0,13.0,9.0
40,16.0,33.0,15.0,16.0,24.0,29.0,12.0,12.0,36.0,13.0
41,42.0,23.0,25.0,29.0,13.0,11.0,32.0,12.0,19.0,19.0
42,15.0,21.0,10.0,12.0,12.0,15.0,8.0,22.0,33.0,32.0
43,19.0,25.0,25.0,21.0,15.0,34.0,23.0,20.0,16.0,11.0
44,11.0,38.0,12.0,14.0,20.0,12.0,13.0,32.0,33.0,31.0
45,28.0,12.0,12.0,24.0,13.0,28.0,14.0,24.0,13.0,22.0
46,28.0,18.0,19.0,19.0,22.0,11.0,18.0,10.0,17.0,12.0
47,18.0,28.0,11.0,14.0,18.0,15.0,30.0,19.0,28.0,18.0
48,26.0,13.0,13.0,10.0,48.0,14.0,27.0,31.0,11.0,42.0
49,37.0,19.0,26.0,11.0,13.0,14.0,14.0,17.0,22.0,12.0
50,16.0,13.0,18.0,34.0,28.0,16.0,62.0,16.0,17.0,10.0
51,26.0,9.0,17.0,18.0,28.0,14.0,32.0,28.0,28.0,13.0
52,20.0,49.0,13.0,28.0,26.0,11.0,11.0,12.0,36.0,10.0
53,15.0,11.0,20.0,14.0,18.0,27.0,28.0,16.0,15.0,13.0
54,11.0,41.0,16.0,29.0,20.0,15.0,26.0,13.0,26.0,15.0
55,34.0,36.0,15.0,22.0,9.0,14.0,13.0,15.0,15.0,25.0
56,10.0,10.0,11.0,45.0,21.0,22.0,69.0,14.0,24.0,16.0
57,14.0,45.0,37.0,12.0,13.0,19.0,17.0,37.0,16.0,13.0
58,17.0,16.0,26.0,36.0,28.0,41.0,51.0,14.0,50.0,12.0
59,22.0,15.0,21.0,13.0,12.0,15.0,35.0,30.0,31.0,12.0
60,17.0,12.0,11.0,29.0,9.0,12.0,13.0,26.0,17.0,10.0
61,17.0,17.0,18.0,15.0,12.0,11.0,17.0,16.0,15.0,13.0
62,10.0,17.0,15.0,27.0,13.0,18.0,12.0,43.0,18.0,13.0
63,17.0,18.0,15.0,24.0,13.0,11.0,18.0,15.0,18.0,19.0
64,22.0,11.0,11.0,12.0,37.0,55.0,21.0,22.0,31.0,11.0
65,12.0,32.0,17.0,23.0,11.0,14.0,13.0,16.0,8.0,14.0
66,17.0,12.0,12.0,15.0,22.0,16.0,15.0,23.0,18.0,24.0
67,37.0,30.0,20.0,16.0,17.0,24.0,13.0,22.0,14.0,30.0
68,37.0,14.0,17.0,14.0,25.0,14.0,14.0,23.0,39.0,17.0
69,15.0,18.0,62.0,17.0,9.0,41.0,24.0,29.0,24.0,16.0
70,17.0,12.0,23.0,37.0,16.0,18.0,21.0,15.0,15.0,17.0
71,23.0,13.0,49.0,20.0,10.0,52.0,9.0,10.0,23.0,17.0
72,17.0,38.0,13.0,10.0,10.0,53.0,46.0,39.0,28.0,55.0
73,14.0,30.0,16.0,16.0,22.0,13.0,26.0,20.0,9.0,21.0
74,10.0,37.0,34.0,21.0,17.0,17.0,27.0,18.0,12.0,16.0
75,22.0,41.0,19.0,20.0,10.0,17.0,15.0,14.0,32.0,33.0
76,47.0,11.0,20.0,9.0,12.0,19.0,12.0,28.0,15.0,25.0
77,17.0,71.0,12.0,13.0,19.0,10.0,26.0,21.0,15.0,11.0
78,21.0,25.0,24.0,35.0,8.0,13.0,40.0,12.0,16.0,44.0
79,10.0,18.0,37.0,22.0,9.0,17.0,17.0,23.0,25.0,14.0
80,11.0,20.0,17.0,32.0,27.0,14.0,27.0,16.0,19.0,9.0
81,43.0,17.0,13.0,13.0,13.0,15.0,20.0,19.0,43.0,26.0
82,13.0,17.0,20.0,28.0,23.0,32.0,25.0,20.0,16.0,12.0
83,11.0,26.0,49.0,39.0,10.0,17.0,22.0,23.0,24.0,15.0
84,36.0,22.0,16.0,44.0,15.0,22.0,10.0,19.0,20.0,9.0
85,83.0,32.0,35.0,17.0,16.0,29.0,24.0,33.0,15.0,18.0
86,32.0,34.0,49.0,21.0,15.0,30.0,20.0,18.0,24.0,34.0
87,23.0,26.0,25.0,28.0,12.0,17.0,18.0,41.0,27.0,15.0
