,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,28.0,18.0,10.0,24.0,17.0,10.0,12.0,33.0,14.0,15.0,41.0,16.0,18.0,15.0,21.0,15.0,14.0,20.0,14.0,38.0,8.0,16.0,33.0,12.0,20.0,25.0,18.0,16.0,27.0,24.0,13.0,27.0,13.0,12.0,21.0,17.0,11.0,35.0,36.0,29.0,20.0,50.0,14.0,23.0,13.0,61.0,54.0,11.0,35.0,15.0
1,47.0,14.0,24.0,12.0,29.0,9.0,14.0,13.0,14.0,66.0,11.0,19.0,13.0,34.0,20.0,19.0,15.0,26.0,11.0,16.0,9.0,12.0,18.0,28.0,11.0,18.0,12.0,30.0,49.0,15.0,30.0,21.0,24.0,24.0,29.0,25.0,12.0,57.0,38.0,21.0,15.0,29.0,20.0,26.0,9.0,16.0,17.0,27.0,26.0,21.0
2,16.0,20.0,10.0,28.0,12.0,9.0,35.0,12.0,19.0,26.0,58.0,10.0,13.0,22.0,34.0,12.0,30.0,20.0,9.0,33.0,26.0,24.0,17.0,44.0,12.0,39.0,16.0,17.0,17.0,29.0,26.0,32.0,16.0,37.0,41.0,30.0,9.0,19.0,10.0,39.0,32.0,22.0,12.0,32.0,11.0,25.0,19.0,33.0,12.0,14.0
3,21.0,18.0,17.0,24.0,23.0,8.0,18.0,28.0,25.0,14.0,51.0,11.0,11.0,15.0,80.0,39.0,46.0,16.0,8.0,25.0,20.0,21.0,26.0,29.0,9.0,17.0,15.0,10.0,24.0,18.0,14.0,33.0,13.0,21.0,35.0,24.0,11.0,18.0,27.0,24.0,27.0,48.0,9.0,66.0,17.0,29.0,23.0,23.0,22.0,43.0
4,27.0,30.0,14.0,16.0,24.0,12.0,16.0,19.0,41.0,11.0,29.0,13.0,9.0,66.0,11.0,15.0,32.0,24.0,10.0,25.0,11.0,61.0,20.0,11.0,17.0,19.0,14.0,19.0,22.0,25.0,12.0,69.0,26.0,41.0,93.0,27.0,15.0,17.0,37.0,17.0,21.0,62.0,14.0,17.0,34.0,18.0,20.0,16.0,36.0,29.0
5,13.0,14.0,11.0,15.0,39.0,14.0,31.0,25.0,12.0,20.0,29.0,62.0,11.0,48.0,18.0,34.0,20.0,12.0,10.0,21.0,16.0,31.0,110.0,27.0,11.0,22.0,45.0,13.0,18.0,12.0,18.0,21.0,48.0,23.0,10.0,43.0,12.0,25.0,26.0,41.0,55.0,36.0,12.0,15.0,26.0,43.0,20.0,36.0,31.0,28.0
6,49.0,19.0,13.0,39.0,31.0,17.0,20.0,28.0,27.0,14.0,37.0,10.0,10.0,33.0,42.0,46.0,36.0,19.0,9.0,41.0,41.0,13.0,27.0,51.0,12.0,28.0,34.0,24.0,54.0,10.0,11.0,16.0,22.0,16.0,22.0,18.0,10.0,42.0,49.0,21.0,35.0,51.0,22.0,53.0,24.0,23.0,36.0,40.0,57.0,43.0
7,16.0,14.0,39.0,36.0,11.0,10.0,37.0,48.0,53.0,50.0,52.0,23.0,11.0,107.0,21.0,40.0,34.0,89.0,12.0,110.0,24.0,20.0,25.0,50.0,12.0,73.0,19.0,31.0,15.0,52.0,10.0,17.0,44.0,53.0,34.0,34.0,9.0,24.0,19.0,42.0,65.0,28.0,15.0,40.0,16.0,35.0,27.0,10.0,60.0,27.0
8,24.0,13.0,14.0,12.0,31.0,10.0,25.0,73.0,48.0,19.0,19.0,27.0,10.0,20.0,19.0,35.0,16.0,54.0,10.0,69.0,14.0,37.0,12.0,18.0,10.0,22.0,19.0,55.0,45.0,28.0,13.0,46.0,85.0,13.0,25.0,20.0,10.0,39.0,24.0,21.0,16.0,15.0,20.0,23.0,41.0,26.0,40.0,22.0,40.0,24.0
9,49.0,36.0,15.0,33.0,41.0,10.0,29.0,18.0,31.0,39.0,35.0,24.0,15.0,113.0,43.0,35.0,19.0,53.0,12.0,49.0,15.0,23.0,16.0,11.0,15.0,43.0,15.0,20.0,37.0,35.0,29.0,33.0,56.0,28.0,66.0,41.0,9.0,33.0,42.0,17.0,30.0,60.0,14.0,16.0,31.0,22.0,48.0,20.0,30.0,13.0
10,22.0,43.0,60.0,54.0,18.0,8.0,28.0,27.0,26.0,30.0,23.0,31.0,10.0,17.0,58.0,22.0,31.0,23.0,8.0,33.0,20.0,34.0,41.0,15.0,15.0,37.0,14.0,94.0,24.0,51.0,15.0,36.0,38.0,43.0,20.0,33.0,27.0,36.0,46.0,51.0,27.0,13.0,27.0,30.0,26.0,32.0,37.0,37.0,44.0,30.0
11,132.0,64.0,32.0,19.0,21.0,10.0,31.0,31.0,72.0,16.0,32.0,41.0,9.0,19.0,29.0,47.0,37.0,37.0,13.0,80.0,21.0,21.0,34.0,35.0,24.0,54.0,27.0,33.0,10.0,69.0,18.0,9.0,27.0,22.0,40.0,48.0,41.0,19.0,25.0,31.0,77.0,39.0,32.0,29.0,29.0,21.0,82.0,45.0,21.0,22.0
12,27.0,41.0,44.0,37.0,32.0,9.0,32.0,37.0,28.0,13.0,64.0,10.0,19.0,32.0,21.0,22.0,10.0,45.0,9.0,18.0,37.0,19.0,22.0,37.0,22.0,29.0,24.0,58.0,15.0,41.0,40.0,41.0,16.0,38.0,25.0,49.0,13.0,37.0,47.0,74.0,46.0,18.0,43.0,43.0,24.0,54.0,28.0,34.0,44.0,80.0
13,56.0,33.0,51.0,22.0,25.0,9.0,16.0,39.0,21.0,25.0,45.0,19.0,13.0,19.0,49.0,15.0,20.0,12.0,10.0,23.0,21.0,19.0,24.0,31.0,45.0,27.0,20.0,42.0,17.0,18.0,11.0,41.0,68.0,27.0,23.0,41.0,35.0,24.0,48.0,73.0,27.0,27.0,18.0,62.0,76.0,56.0,46.0,33.0,35.0,38.0
14,46.0,15.0,74.0,45.0,40.0,11.0,21.0,40.0,87.0,38.0,35.0,14.0,10.0,24.0,16.0,23.0,28.0,73.0,10.0,61.0,51.0,20.0,17.0,49.0,39.0,27.0,34.0,122.0,19.0,58.0,48.0,51.0,65.0,24.0,33.0,53.0,26.0,44.0,38.0,19.0,33.0,25.0,31.0,27.0,54.0,22.0,38.0,75.0,41.0,14.0
15,40.0,23.0,32.0,73.0,40.0,9.0,15.0,46.0,52.0,20.0,42.0,10.0,15.0,77.0,27.0,22.0,13.0,33.0,11.0,84.0,31.0,27.0,56.0,43.0,31.0,96.0,33.0,32.0,14.0,52.0,58.0,43.0,40.0,26.0,36.0,107.0,18.0,37.0,60.0,46.0,46.0,22.0,26.0,28.0,17.0,18.0,23.0,28.0,26.0,15.0
16,32.0,32.0,38.0,47.0,53.0,9.0,18.0,20.0,53.0,45.0,29.0,24.0,29.0,40.0,38.0,27.0,30.0,30.0,14.0,28.0,25.0,76.0,22.0,35.0,31.0,57.0,17.0,18.0,45.0,25.0,36.0,31.0,81.0,14.0,56.0,41.0,12.0,24.0,26.0,18.0,21.0,24.0,17.0,19.0,36.0,21.0,72.0,19.0,23.0,19.0
17,64.0,16.0,83.0,68.0,54.0,8.0,14.0,12.0,57.0,36.0,30.0,13.0,20.0,20.0,45.0,92.0,53.0,37.0,13.0,29.0,23.0,55.0,64.0,35.0,13.0,20.0,20.0,18.0,8.0,59.0,34.0,63.0,20.0,12.0,57.0,41.0,29.0,22.0,22.0,27.0,19.0,24.0,22.0,24.0,61.0,44.0,39.0,61.0,28.0,15.0
18,85.0,19.0,38.0,35.0,45.0,9.0,20.0,22.0,37.0,130.0,33.0,48.0,10.0,37.0,142.0,29.0,32.0,16.0,12.0,45.0,26.0,19.0,24.0,26.0,43.0,62.0,15.0,89.0,73.0,56.0,64.0,66.0,29.0,18.0,154.0,60.0,31.0,28.0,17.0,39.0,24.0,35.0,28.0,25.0,51.0,19.0,25.0,106.0,36.0,14.0
19,41.0,61.0,17.0,33.0,35.0,12.0,18.0,87.0,12.0,89.0,34.0,15.0,14.0,26.0,56.0,49.0,61.0,25.0,10.0,45.0,32.0,56.0,25.0,26.0,24.0,24.0,62.0,33.0,45.0,15.0,43.0,51.0,40.0,18.0,35.0,22.0,52.0,31.0,39.0,28.0,26.0,27.0,31.0,22.0,66.0,34.0,31.0,61.0,58.0,20.0
20,34.0,64.0,32.0,22.0,46.0,10.0,18.0,38.0,23.0,19.0,106.0,59.0,21.0,31.0,37.0,38.0,16.0,53.0,12.0,37.0,27.0,48.0,45.0,49.0,30.0,42.0,55.0,32.0,34.0,60.0,28.0,57.0,58.0,13.0,18.0,25.0,25.0,21.0,73.0,31.0,18.0,16.0,28.0,22.0,43.0,64.0,22.0,38.0,99.0,41.0
21,32.0,13.0,74.0,40.0,35.0,10.0,22.0,33.0,12.0,49.0,41.0,43.0,12.0,52.0,60.0,59.0,23.0,80.0,12.0,25.0,22.0,23.0,30.0,57.0,102.0,30.0,32.0,32.0,35.0,23.0,12.0,32.0,33.0,23.0,25.0,30.0,32.0,23.0,41.0,55.0,36.0,61.0,62.0,44.0,35.0,29.0,18.0,22.0,69.0,38.0
22,38.0,26.0,22.0,41.0,44.0,17.0,17.0,47.0,10.0,12.0,18.0,33.0,15.0,17.0,63.0,48.0,39.0,16.0,9.0,40.0,16.0,46.0,31.0,23.0,31.0,18.0,63.0,32.0,25.0,58.0,60.0,83.0,58.0,11.0,15.0,29.0,100.0,40.0,66.0,78.0,28.0,52.0,48.0,52.0,49.0,57.0,33.0,35.0,37.0,25.0
23,69.0,22.0,50.0,43.0,55.0,11.0,32.0,27.0,19.0,31.0,49.0,35.0,12.0,56.0,42.0,46.0,30.0,106.0,11.0,115.0,37.0,31.0,49.0,66.0,29.0,14.0,31.0,19.0,27.0,39.0,57.0,22.0,22.0,15.0,27.0,66.0,17.0,51.0,22.0,76.0,49.0,49.0,56.0,50.0,168.0,77.0,31.0,82.0,38.0,22.0
24,19.0,40.0,48.0,40.0,47.0,9.0,28.0,25.0,21.0,12.0,29.0,44.0,25.0,28.0,79.0,39.0,66.0,33.0,11.0,89.0,32.0,115.0,37.0,40.0,41.0,11.0,48.0,29.0,10.0,51.0,33.0,70.0,20.0,26.0,12.0,25.0,46.0,24.0,32.0,37.0,64.0,49.0,42.0,34.0,40.0,64.0,17.0,48.0,24.0,46.0
25,24.0,75.0,48.0,47.0,55.0,19.0,65.0,91.0,27.0,21.0,65.0,58.0,27.0,20.0,45.0,88.0,28.0,113.0,12.0,42.0,27.0,37.0,66.0,33.0,64.0,29.0,58.0,93.0,35.0,35.0,11.0,48.0,27.0,23.0,17.0,39.0,78.0,92.0,36.0,35.0,30.0,63.0,53.0,53.0,70.0,50.0,46.0,35.0,17.0,37.0
26,52.0,42.0,37.0,22.0,38.0,10.0,69.0,21.0,33.0,76.0,30.0,34.0,18.0,40.0,49.0,17.0,34.0,48.0,12.0,30.0,58.0,50.0,34.0,30.0,63.0,82.0,103.0,59.0,25.0,27.0,21.0,50.0,41.0,59.0,22.0,45.0,21.0,34.0,18.0,60.0,59.0,35.0,70.0,33.0,56.0,75.0,35.0,14.0,98.0,81.0
27,20.0,48.0,82.0,47.0,39.0,9.0,30.0,81.0,27.0,51.0,29.0,47.0,59.0,28.0,36.0,14.0,25.0,31.0,12.0,74.0,44.0,38.0,34.0,50.0,17.0,70.0,81.0,92.0,45.0,16.0,21.0,36.0,51.0,24.0,21.0,43.0,51.0,47.0,65.0,44.0,14.0,46.0,17.0,46.0,74.0,36.0,15.0,32.0,32.0,23.0
28,20.0,42.0,55.0,62.0,32.0,11.0,20.0,24.0,37.0,34.0,35.0,21.0,63.0,24.0,31.0,24.0,83.0,82.0,18.0,41.0,50.0,45.0,35.0,78.0,22.0,28.0,124.0,68.0,42.0,22.0,31.0,128.0,24.0,85.0,26.0,57.0,32.0,28.0,43.0,72.0,35.0,76.0,24.0,36.0,28.0,45.0,100.0,37.0,38.0,80.0
29,29.0,48.0,31.0,33.0,40.0,11.0,20.0,37.0,16.0,61.0,42.0,55.0,44.0,40.0,23.0,71.0,27.0,40.0,15.0,63.0,35.0,55.0,52.0,33.0,53.0,27.0,39.0,29.0,31.0,59.0,39.0,71.0,33.0,43.0,33.0,106.0,28.0,112.0,75.0,37.0,15.0,41.0,75.0,92.0,91.0,76.0,47.0,26.0,35.0,45.0
30,43.0,18.0,26.0,97.0,43.0,26.0,38.0,35.0,20.0,39.0,47.0,67.0,37.0,33.0,150.0,66.0,45.0,39.0,11.0,30.0,46.0,16.0,65.0,39.0,126.0,80.0,30.0,29.0,33.0,18.0,23.0,141.0,73.0,33.0,31.0,21.0,34.0,75.0,58.0,21.0,32.0,77.0,40.0,54.0,66.0,43.0,23.0,32.0,38.0,43.0
31,36.0,44.0,60.0,62.0,28.0,16.0,49.0,26.0,68.0,52.0,32.0,86.0,42.0,14.0,32.0,37.0,49.0,48.0,19.0,42.0,52.0,33.0,54.0,66.0,45.0,16.0,39.0,48.0,25.0,16.0,49.0,127.0,41.0,18.0,44.0,18.0,15.0,25.0,61.0,49.0,144.0,67.0,48.0,115.0,26.0,38.0,42.0,60.0,36.0,24.0
32,31.0,38.0,53.0,49.0,30.0,28.0,43.0,135.0,32.0,17.0,95.0,77.0,58.0,85.0,33.0,42.0,39.0,38.0,14.0,20.0,58.0,68.0,24.0,38.0,45.0,24.0,42.0,36.0,22.0,49.0,34.0,37.0,34.0,21.0,44.0,25.0,46.0,39.0,46.0,32.0,41.0,18.0,83.0,72.0,60.0,37.0,66.0,64.0,54.0,16.0
33,30.0,19.0,84.0,73.0,65.0,15.0,48.0,39.0,51.0,33.0,14.0,47.0,22.0,79.0,22.0,42.0,62.0,34.0,26.0,33.0,26.0,79.0,29.0,114.0,36.0,23.0,32.0,46.0,35.0,20.0,53.0,58.0,48.0,37.0,32.0,32.0,49.0,42.0,55.0,32.0,34.0,16.0,25.0,91.0,30.0,67.0,31.0,34.0,62.0,20.0
34,80.0,58.0,64.0,96.0,17.0,39.0,19.0,52.0,28.0,30.0,38.0,27.0,44.0,44.0,52.0,45.0,96.0,15.0,46.0,38.0,20.0,24.0,50.0,25.0,75.0,38.0,38.0,29.0,49.0,61.0,46.0,51.0,34.0,38.0,26.0,23.0,44.0,59.0,37.0,34.0,42.0,34.0,30.0,22.0,44.0,47.0,46.0,38.0,46.0,32.0
35,65.0,40.0,45.0,65.0,26.0,14.0,38.0,45.0,42.0,33.0,42.0,38.0,56.0,50.0,42.0,90.0,65.0,53.0,32.0,77.0,35.0,18.0,30.0,36.0,30.0,55.0,43.0,21.0,92.0,38.0,35.0,58.0,42.0,62.0,72.0,37.0,91.0,46.0,55.0,25.0,33.0,31.0,52.0,50.0,34.0,62.0,29.0,53.0,137.0,18.0
36,34.0,82.0,43.0,62.0,28.0,12.0,22.0,64.0,63.0,39.0,43.0,34.0,27.0,37.0,33.0,47.0,31.0,90.0,66.0,50.0,26.0,46.0,36.0,46.0,122.0,39.0,50.0,36.0,60.0,33.0,39.0,101.0,37.0,36.0,83.0,72.0,32.0,88.0,45.0,21.0,34.0,28.0,52.0,36.0,49.0,54.0,90.0,50.0,56.0,34.0
37,16.0,59.0,23.0,57.0,55.0,28.0,33.0,61.0,35.0,38.0,24.0,45.0,66.0,81.0,43.0,59.0,86.0,58.0,17.0,75.0,32.0,26.0,52.0,59.0,78.0,71.0,61.0,54.0,57.0,35.0,12.0,48.0,42.0,34.0,58.0,48.0,29.0,85.0,36.0,25.0,34.0,29.0,40.0,81.0,36.0,90.0,43.0,28.0,32.0,31.0
38,26.0,37.0,73.0,69.0,94.0,34.0,35.0,67.0,23.0,31.0,34.0,66.0,52.0,43.0,57.0,72.0,70.0,35.0,58.0,85.0,56.0,38.0,40.0,49.0,27.0,47.0,53.0,47.0,63.0,46.0,36.0,51.0,51.0,23.0,69.0,28.0,64.0,56.0,61.0,36.0,35.0,45.0,66.0,20.0,24.0,22.0,56.0,70.0,14.0,42.0
39,24.0,36.0,69.0,34.0,45.0,13.0,31.0,51.0,85.0,86.0,40.0,74.0,61.0,51.0,71.0,47.0,30.0,34.0,26.0,75.0,40.0,77.0,26.0,78.0,43.0,41.0,81.0,51.0,57.0,52.0,46.0,51.0,37.0,160.0,121.0,72.0,34.0,64.0,81.0,28.0,28.0,50.0,45.0,27.0,82.0,23.0,102.0,75.0,21.0,13.0
